ds,yhat,yhat_lower,yhat_upper
2024-03-27,4.021535300665384,0.7230490473239537,7.410223372638857
2024-03-28,4.25539600873161,0.9724911465261475,7.6550656554444725
2024-03-29,4.402442745461088,1.1427106097821844,7.7005503019861665
2024-03-30,3.678736638986021,0.3409824677873257,7.261526844451459
2024-03-31,4.268624871763505,0.9718253943947526,7.728496260612827
2024-04-01,4.08830553459634,0.4270556361179175,7.419087182976815
2024-04-02,4.102965272035261,0.8094971811211573,7.400809708795139
2024-04-03,4.334596710851786,0.8689639769535504,7.9166002382319
2024-04-04,4.556623349731527,1.1776991015010745,8.225618805215989
2024-04-05,4.6884798503030956,1.2238743287650737,8.251276570099828
2024-04-06,3.947036888355752,0.5383699177481797,7.4113372418477175
2024-04-07,4.517545015639613,1.1532596512962066,8.11532294031426
2024-04-08,4.317170368481891,0.7830567327053614,7.617421084916429
2024-04-09,4.312100440656372,0.7725260673232692,7.632078109017308
2024-04-10,4.525327830796817,0.7967366085361665,7.8270059938172905
2024-04-11,4.731240632676998,1.2219608216078095,8.139096078012809
2024-04-12,4.85016844259771,1.6130765314041664,8.150645445028555
2024-04-13,4.099774190887272,0.6000994470991968,7.6600865819048956
2024-04-14,4.66596727997784,1.38420707710347,7.912275098835615
2024-04-15,4.466411850635192,0.8999717311572345,7.86216671858617
2024-04-16,4.467609302880479,1.1648435514011954,7.968474692256661
2024-04-17,4.692663786957219,1.5242776083028402,7.968126385646901
2024-04-18,4.915860008450325,1.497199839162562,8.382054644077703
2024-04-19,5.057202846322024,1.4282764437507203,8.543428124919162
2024-04-20,4.333809346311119,1.1635706346962587,7.818857472168759
2024-04-21,4.930828745137393,1.460110145001388,8.505143447898334
2024-04-22,4.764964329220686,1.4245892097445492,8.258136908501351
2024-04-23,4.801576042905701,1.412288678771745,8.242803324117585
2024-04-24,5.062472158615193,1.6760322291128122,8.736995969796936
2024-04-25,5.320518766858482,2.0039803597815413,8.971854891059033
2024-04-26,5.494215828571049,2.051583003554619,8.942260529488944
2024-04-27,4.799129444333109,1.464173198700687,8.22275525148509
2024-04-28,5.418854959122504,2.0841985486665338,8.857108207625213
2024-04-29,5.268583567678606,1.8493501473626763,8.833610266018365
2024-04-30,5.31225012500796,1.8378328708551557,8.645809778221851
2024-05-01,5.5703692249134855,2.1232387749268793,9.067253665242513
2024-05-02,5.814687049941083,2.5759542855269313,8.98357465345994
2024-05-03,5.96279651073454,2.4375300300458957,9.282848262027652
2024-05-04,5.229604169164583,1.9644430633360117,8.33720127282085
2024-05-05,5.798322501576255,2.491432084444975,9.206419227455326
2024-05-06,5.584059233433309,2.303752413396428,9.111927766346522
2024-05-07,5.550980672757467,2.2319406538312974,8.70074285142579
2024-05-08,5.720155508460585,2.462493591933257,9.081618048773235
2024-05-09,5.864206179979309,2.2211772173629836,9.592907060750544
2024-05-10,5.901915152798123,2.4621237348179763,9.379805185667697
2024-05-11,5.049674632967356,1.877803881054452,8.368475364824345
2024-05-12,5.492453539931182,1.993067989979955,8.783505671329177
2024-05-13,5.147353952590458,1.6960788850550321,8.78157021048474
2024-05-14,4.980734650220537,1.4413751768520318,8.38213410789903
2024-05-15,5.016009103670717,1.6766176578295762,8.544236271328721
2024-05-16,5.0282460861596965,1.7075218068583748,8.506628494740806
2024-05-17,4.93872144892242,1.4571816685916181,8.097816948430005
2024-05-18,3.9663109223605635,0.4982853862423779,7.393551803557951
2024-05-19,4.298399172796902,0.9500478623382209,7.602629255439071
2024-05-20,3.854378786963255,0.46076905071627733,7.291266555924
2024-05-21,3.602718271380652,0.19218823680122668,7.215471075379556
2024-05-22,3.568707857032651,0.04460209860781722,6.805785070994876
2024-05-23,3.5290126448321315,0.2969409959942289,7.0828942611713925
2024-05-24,3.4061828974248636,-0.1782480986098083,6.577750405087868
2024-05-25,2.420012458407638,-0.9477607156437315,6.033510133160845
2024-05-26,2.7584214783239522,-0.7707925490435771,6.185453594249946
2024-05-27,2.340937871499608,-1.1783756791132451,5.677689904857847
2024-05-28,2.1357571237395194,-1.4449260621484814,5.3291923086633775
2024-05-29,2.1674895394936398,-1.4101684484146793,5.589201338600683
2024-05-30,2.21172451778739,-1.4638465634788487,5.427841478543664
2024-05-31,2.1895614687379177,-1.125189182263307,5.625178283027376
2024-06-01,1.3189979139587398,-2.080223333289653,4.692240653223049
2024-06-02,1.7858502781477386,-1.5954844603968747,5.2432103742688145
2024-06-03,1.5072809059478005,-1.9362985352982773,4.765333507797999
2024-06-04,1.4489098381617342,-1.8745264243144482,4.80686687427652
2024-06-05,1.632619181479312,-1.9816040031578714,4.895161248879585
2024-06-06,1.8311782699735055,-1.711250449713334,5.211750821496582
2024-06-07,1.9628377384088291,-1.4287058346712898,5.537141679272739
2024-06-08,1.2427814963425217,-2.059822755565441,4.809792600215229
2024-06-09,1.854110534243377,-1.5834112283755473,5.36069817227438
2024-06-10,1.7114305383051067,-1.8029074624547394,5.0509446728481135
2024-06-11,1.7780203503646532,-1.5597986404628528,5.302701212093078
2024-06-12,2.073687707843373,-1.4046645579260968,5.614126722803077
2024-06-13,2.369439197975946,-1.014567015000784,5.863637882099984
2024-06-14,2.582111450357255,-0.8973873078353234,5.953073219610294
2024-06-15,1.9258516576114808,-1.4475990176355882,5.430632058430935
2024-06-16,2.583120676125604,-0.5167138180003853,6.162229213207429
2024-06-17,2.468290241964649,-0.9773843241861478,5.662593390822074
2024-06-18,2.544811145548506,-1.2160506203121184,5.945280836499236
2024-06-19,2.8330588607353784,-0.4415461036574281,6.124078177476438
2024-06-20,3.104983874617422,-0.41990431245436205,6.714826157872334
2024-06-21,3.278714296769452,-0.10299828591811941,6.299058228221385
2024-06-22,2.569999619900014,-0.9493772195344468,5.8825179106053245
2024-06-23,3.1631698722149286,-0.32840049575843566,6.773065040970856
2024-06-24,2.974682864665371,-0.2948589788811766,6.434875784383103
